file,speaker,segs,ref_words,wer
audio_file_024,spk_1103,4,55,0.3818
audio_file_002,spk_1060,3,53,0.1887
audio_file_005,spk_1013,5,53,0.1509
audio_file_021,spk_1104,6,52,0.2692
audio_file_024,spk_1012,5,50,0.3800
audio_file_004,spk_1008,2,48,0.1250
audio_file_017,spk_1015,4,48,0.6042
audio_file_004,spk_1054,5,47,0.4043
audio_file_004,spk_1039,2,46,0.2826
audio_file_017,spk_0074,2,45,0.1778
audio_file_024,spk_1005,3,45,0.2444
audio_file_016,spk_1105,6,44,0.3636
audio_file_020,spk_1028,5,42,0.8095
audio_file_020,spk_1106,3,40,0.7250
audio_file_023,spk_1102,3,39,0.2051
audio_file_009,spk_1029,1,38,0.1316
audio_file_022,spk_1011,2,38,0.9474
audio_file_024,spk_1099,5,38,0.8158
audio_file_019,spk_0067,3,37,0.7297
audio_file_001,spk_1081,7,36,0.7500
audio_file_006,spk_1058,2,36,0.2222
audio_file_016,spk_0057,3,36,0.4722
audio_file_011,spk_1087,1,35,0.3143
audio_file_022,spk_1108,3,35,0.4571
audio_file_005,spk_0115,4,32,0.4688
audio_file_007,spk_0067,5,30,0.8333
audio_file_007,spk_1113,2,30,0.2667
audio_file_008,spk_1007,2,30,0.2333
audio_file_019,spk_1025,2,30,0.1333
audio_file_022,spk_0100,1,30,0.4333
audio_file_007,spk_1088,4,28,0.5714
audio_file_018,spk_1004,3,27,0.2222
audio_file_004,spk_1058,1,25,0.2000
audio_file_008,spk_0067,2,25,0.5200
audio_file_016,spk_1114,1,25,0.6000
audio_file_023,spk_0112,1,25,0.4400
audio_file_001,spk_0100,2,24,0.4583
audio_file_009,spk_1005,1,23,0.0870
audio_file_018,spk_0107,1,22,0.2727
audio_file_001,spk_0109,1,20,0.2500
audio_file_001,spk_0116,2,20,0.0500
audio_file_019,spk_1017,1,20,0.1000
audio_file_023,spk_1087,3,20,0.5500
audio_file_008,spk_1111,4,19,1.2632
audio_file_020,spk_1004,2,19,0.3158
audio_file_024,spk_0057,2,18,0.3889
audio_file_012,spk_0057,1,17,0.2941
audio_file_017,spk_1004,3,17,0.6471
audio_file_010,spk_1117,2,16,0.4375
audio_file_022,spk_1118,2,16,1.0000
audio_file_002,spk_1026,1,15,1.0000
audio_file_006,spk_1054,2,15,0.6000
audio_file_021,spk_1015,1,15,0.2000
audio_file_008,spk_0074,1,13,0.0769
audio_file_012,spk_1054,2,12,0.4167
audio_file_023,spk_1004,1,12,0.6667
audio_file_023,spk_1039,1,12,0.1667
audio_file_006,spk_0074,1,11,1.0000
audio_file_014,spk_1006,1,11,0.5455
audio_file_016,spk_1005,1,10,0.0000
audio_file_024,spk_1088,1,10,0.4000
audio_file_013,spk_1054,1,9,0.2222
audio_file_003,spk_1054,1,8,1.1250
audio_file_024,spk_0107,2,8,0.8750
audio_file_024,spk_1054,1,8,0.6250
audio_file_004,spk_1040,1,7,0.4286
audio_file_012,spk_0107,1,7,0.1429
audio_file_012,spk_0067,1,7,0.7143
audio_file_017,spk_1033,1,7,0.5714
audio_file_014,spk_1119,1,6,0.5000
audio_file_006,spk_1056,1,5,1.4000
audio_file_007,spk_1006,1,4,1.0000
audio_file_020,spk_0120,1,4,1.2500
audio_file_011,spk_1122,1,3,1.6667
audio_file_014,spk_0121,1,3,1.3333
audio_file_016,spk_0123,1,3,2.3333
audio_file_003,spk_0121,1,2,1.0000
